矩阵链长度,200,500,800,1000
备忘录法,0.021,0.301,1.291,2.607
动态规划,0.019,0.291,1.051,2.039
动态规划,0.019,0.291,1.051,2.039
备忘录法,0.021,0.301,1.291,2.607
